State,Events,Deaths,Ratio
Punjab,37,47,1.3
Delhi,15,16,1.1
Maharashtra,196,211,1.1
Chhattisgarh,832,865,1
West Bengal,407,361,0.9
Andhra pradesh,135,109,0.8
Haryana,8,6,0.8
Assam,460,260,0.6
Bihar,480,274,0.6
Kashmir,887,565,0.6
Jharkhand,681,409,0.6
Madhya Pradesh,37,21,0.6
Tripura,21,12,0.6
Arunachal Pradesh,22,12,0.5
Orissa,499,266,0.5
Uttaranchal,2,1,0.5
Karnataka,31,12,0.4
Meghalaya,253,104,0.4
Nagaland,55,24,0.4
Uttar Pradesh,88,37,0.4
Manipur,805,207,0.3
Mizoram,12,3,0.3
Rajasthan,6,2,0.3
Tamil Nadu,97,17,0.2
Telangana,22,4,0.2
Kerala,84,6,0.1
Chandigarh,1,0,0
Goa,2,0,0
Gujarat,9,0,0
Himachal Pradesh,1,0,0
Puducherry,2,0,0
